,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2,date,StationId
248,2020-01-03 14:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
249,2020-01-03 14:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
250,2020-01-03 14:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
251,2020-01-03 14:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
252,2020-01-03 15:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
253,2020-01-03 15:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
254,2020-01-03 15:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
255,2020-01-03 15:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
256,2020-01-03 16:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
257,2020-01-03 16:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
258,2020-01-03 16:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
259,2020-01-03 16:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
260,2020-01-03 17:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
261,2020-01-03 17:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
262,2020-01-03 17:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
263,2020-01-03 17:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
264,2020-01-03 18:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
265,2020-01-03 18:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
266,2020-01-03 18:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
267,2020-01-03 18:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
268,2020-01-03 19:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
269,2020-01-03 19:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
270,2020-01-03 19:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
271,2020-01-03 19:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
272,2020-01-03 20:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
273,2020-01-03 20:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
274,2020-01-03 20:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
275,2020-01-03 20:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
276,2020-01-03 21:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
277,2020-01-03 21:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
278,2020-01-03 21:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
279,2020-01-03 21:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
280,2020-01-03 22:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
281,2020-01-03 22:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
282,2020-01-03 22:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
283,2020-01-03 22:45:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
284,2020-01-03 23:00:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
285,2020-01-03 23:15:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
286,2020-01-03 23:30:00,,,,,,,,2020-01-03,"Mangala, Bilaspur - NTPC"
