From Date,To Date,PM2.5,PM10,NO,NO2,NOx,Ozone
03-01-2020 10:00,03-01-2020 10:15,25.6,42.3,10.2,28.9,38.1,5.74
03-01-2020 10:15,03-01-2020 10:30,25.6,42.3,10.3,28.8,38.1,5.9
03-01-2020 10:30,03-01-2020 10:45,25.5,41.3,10.5,32.6,42.1,4.82
03-01-2020 10:45,03-01-2020 11:00,24.5,32.3,10.5,34.6,44.1,5.09
03-01-2020 11:00,03-01-2020 11:15,24.5,32.3,10.5,34.7,44.2,4.78
03-01-2020 11:15,03-01-2020 11:30,24.5,32.3,10.3,35.8,45,4.69
03-01-2020 11:30,03-01-2020 11:45,24.2,32.5,9.7,37.8,46.5,9.84
03-01-2020 11:45,03-01-2020 12:00,21.3,34.7,7.3,41.7,48,None
03-01-2020 12:00,03-01-2020 12:15,21.3,34.7,6.7,44.6,50.3,None
03-01-2020 12:15,03-01-2020 12:30,21.3,34.7,9.7,45.2,53.8,17.43
03-01-2020 12:30,03-01-2020 12:45,21.8,35.6,7.7,40.4,47.1,11.7
03-01-2020 12:45,03-01-2020 13:00,26.3,43.7,None,None,None,9
03-01-2020 13:00,03-01-2020 13:15,26.3,43.7,None,None,None,12.29
03-01-2020 13:15,03-01-2020 13:30,26.3,43.7,None,None,None,18.57
03-01-2020 13:30,03-01-2020 13:45,25.6,42.5,4.4,21.5,25.8,20.73
03-01-2020 13:45,03-01-2020 14:00,19.1,31.6,4.2,27.4,31.7,20.6
03-01-2020 14:00,03-01-2020 14:15,19.1,31.6,4.1,30.8,35,15.73
03-01-2020 14:15,03-01-2020 14:30,19.1,31.6,4.3,33.7,38,7.36
03-01-2020 14:30,03-01-2020 14:45,18.6,31.7,4.5,31.9,36.4,4.61
03-01-2020 14:45,03-01-2020 15:00,13.8,32.4,5.1,29,34.2,4.16
03-01-2020 15:00,03-01-2020 15:15,13.8,32.4,5.7,27.7,33.4,4.43
03-01-2020 15:15,03-01-2020 15:30,13.8,32.4,6.2,26.5,32.7,5.14
03-01-2020 15:30,03-01-2020 15:45,14.5,33.2,6.5,26.4,32.9,5.09
03-01-2020 15:45,03-01-2020 16:00,21.5,40.6,6.6,26,32.6,4.61
03-01-2020 16:00,03-01-2020 16:15,21.5,40.6,6.9,27.5,34.4,4.1
03-01-2020 16:15,03-01-2020 16:30,21.5,40.6,7.5,28,35.5,3.88
03-01-2020 16:30,03-01-2020 16:45,21.6,41.6,8,28.2,36.2,3.88
03-01-2020 16:45,03-01-2020 17:00,22.8,49.8,8.2,29.3,37.5,3.88
03-01-2020 17:00,03-01-2020 17:15,22.8,49.8,8.4,29,37.3,3.93
03-01-2020 17:15,03-01-2020 17:30,22.8,49.8,8.6,29.5,38.1,3.9
03-01-2020 17:30,03-01-2020 17:45,22.1,48.7,9.3,28.8,38.1,3.89
03-01-2020 17:45,03-01-2020 18:00,16.2,38.6,10.1,28.2,38.3,3.55
03-01-2020 18:00,03-01-2020 18:15,16.2,38.6,10.9,27.9,38.8,3.68
